ID,Reviewer,Rating,Review Time,Review Content,Owner Response
54,Rouba Rahi,5,2019-07-07,"Amazing venue and amazing staff!
We highly recommend this place for any event.",None
55,Kristoffer Mortensen,4,2020-07-06,"Cirque Burlesque was cool, but definitely more fetish party than Halloween/costume",None
56,Mendy Marcus,4,2017-07-07,"It's a great venue to host events, I love the vintage look and structure of the building",None
57,Derek Mahar,4,2020-07-06,"Unique venue for a public art gallery, but perhaps not ideal for food consumption.",None
58,Matt R,5,2022-12-08,Great concert venue,None
59,Tony Fedele,5,2019-07-07,Fantastic venue held in a beautiful church with high vaulted ceilings.,None
60,Alexander Kravec,5,2020-07-06,Really great due the community with lots of family friendly free events,None
61,Jonathan Fauchon,5,2020-07-06,What an amazing idea to put a theatre in a huge church. Beautifull and clean place,None
62,Anna Dox,5,2019-07-07,"So much! Went to a Halloween costume party here, it was great drinks, dancing and good friends!!!!",None
63,Carlos Cano,4,2022-07-06,Nice church turned into a theater,Thank you very much Carlos !
64,Francine Boyer,4,2020-07-06,What an amazing venue. So much beautiful architecture,None
65,Kevin Cheng,4,2019-07-07,A church that has been since converted into a theatre hosting miscellaneous events including Cirque du Boudoir.,None
66,Robert Turcotte,5,2019-07-07,"Amazing time during messe des morts VIII. Tad drunk, but what I remember it was a great place.",None
67,Costa P,5,2022-07-06,Great place for the sugar Sammy show,None
68,Mike So,5,2021-07-06,"Fun place to work at, people and services are great and the place is beautiful.",None
69,Raye Albate,5,2019-07-07,A nice venue for live music with a good beer selection.,None
70,Dibs !,5,2022-12-08,Great atmosphere and productions,None
71,Krys Earles,5,2017-07-07,"Went for the Halloween party.  Very awesome venue for the occasion, and a short walk from Monk metro stop.",None
72,Dao-Huy Hua,4,2020-07-06,Nice place but air conditioning is not powerful enough for the whole place.,None
73,isabel rainville,5,2019-07-07,Great venue for a wedding. The room is beautiful,None
74,Jennifer Nadwodny,4,2017-07-07,Great place for shows. Brutal bar service & beer selection though,None
75,Erin MacCoubrey,4,2018-07-07,Really nice transformation from beautiful old church to event space,None
76,Jonathan Venditti,4,2018-07-07,Beautiful venue. Not the best option for sound,None
77,Stirling Westrup,4,2018-07-07,Great rental hall. Often hosts interesting events.,None
78,Emy Leclerc,4,2017-07-07,"Went to see the Trainspotting play, the scenery was awesome, the seating was ok..it was a little cramped in there",None
79,Jamie Moes,5,2019-07-07,Literally the most beautiful concert venue possible.,None
80,Ron Charles,5,2019-07-07,Great live music venue in a converted church,None
81,Artistic Surgeon,5,2018-07-07,Attracts different types of crowds. Is good for all types of events.,None
82,mazdak salari,5,2022-07-06,"Great acoustic
Beautiful architecture",Thank you Mazdak !
83,Pascal Gagne,4,2017-07-07,"Beautiful place for a ceremony to be held at, whatever that might be!",None
84,Jennifer Donaldson,4,2017-07-07,Beautiful venue with friendly courteous staff!,None
85,LeMortalPanda,5,2020-07-06,Frette,None
86,Kim Mallette,3,2019-07-07,"Beautiful place, expensive and they rush you out.",None
87,VR2GO,5,2020-07-06,Beautiful place! Very professional staff!,None
88,Tara Dennis,5,2019-07-07,Went for a wedding and it was just beautiful inside.,None
89,Zhuoyu Wang,5,2019-07-07,"It had exiting lights, special effects and more.😯

I was amazed! …",None
90,Elena Corina,5,2018-07-07,"Gorgeous place for weddings, great architecture",None
91,Bogdan Stratan,4,2018-07-07,"Former church with good acoustic,impressive.",None
92,Jamie Klinger,5,2017-07-07,Gorgeous venue for a show or a party.,None
93,Janothan Michael,4,2019-07-07,Beautiful venue. Ventilation is lackluster.,None
94,Hakim El Harrif,5,2018-07-07,"Awesome Theater, great staff, beautiful.",None
95,Dave West,5,2019-07-07,"Pretty cool spot, I saw tormentor.",None
96,Ronin Levesque,5,2020-07-06,Upcycling churches is what we should be doing 😁 …,None
97,François Marquis,4,2018-07-07,Nice place. Good sound.,None
98,Lor enza,5,2017-07-07,Lovely space. Beautiful architecture,None
99,Ruiyao Huang,5,2022-07-06,Cool venue!,Thanks Ruiyoa!
100,François Légaré,3,2018-07-07,"nice venue for expo, not sure for theater",None
101,Christine Meimari,5,2018-07-07,Beautiful spacious venue!,None
102,Sandra Pasquariello REMAX Broker,5,2020-07-06,Great venue for a party!,None
103,Andrew Lupsity,5,2018-07-07,Beautiful venue for a wedding,None
104,Fiona Ham,5,2018-07-07,Great space for events.,None
105,Carmine Napolitano,5,2018-07-07,Groupe Madison simply the best,None
106,Pascal Lecurieux,5,2018-07-07,Nice place with passionate people.,None
107,Anjali Pradhan,5,2018-07-07,Great charming venue,None
108,Dino Kall,5,2017-07-07,The Montreal uncovered show is the time to go,None
109,Jackie robichaud,5,2022-07-06,Super venue!!,Thank you Jackie !
110,stavros19743,5,2019-07-07,"Loved it!!
Great place!!!",None
111,Andrea Kong,5,2019-07-07,Beautiful venue!,None
112,Steve,5,2020-07-06,Fantastic venue!,None
113,Weezie LC,4,2020-07-06,My son playing with True North,None
114,Claire J,5,2018-07-07,Good place for a Gala.,None
115,Monico Seraspe,3,2019-07-07,Great for events!,None
116,Félix-Antoine Thibault,5,2018-07-07,Cool venue!,None
117,Katherine Messina,5,2018-07-07,Great ambiance,None
118,Todd Wilder,4,2018-07-07,beautiful venue for wedding,None
119,Sebastian rodriguez,5,2019-07-07,Cool!,None
120,Matt Daye,4,2018-07-07,Elegant!,None
121,Melina Anne,5,2019-07-07,Awsome,None
122,Domenic Matalone,5,2018-07-07,Great venue,None
123,Jeremy Stokes,5,2018-07-07,Beautiful venue..!!,None
124,Matthieu Boyer,5,2021-07-06,I work here,None
125,Tamás Buday,5,2019-07-07,Unique experience!,None
126,Gaston Farah,5,2020-07-06,Beautiful,None
127,Mark Bayley,4,2018-07-07,nice venue,None
128,Edward Acs Lessard,5,2018-07-07,Breath taking,None
129,Ji Hye Ren,4,2017-07-07,Awesome!!!!,None
130,Sue C.,5,2019-07-07,Beautiful venue !!,None
131,Audrey Deschênes-Renaud,4,2023-07-01,Great place to rent for an event. There is no parking though.,None
132,Hugues Beauchamp,5,2023-06-06,Superbe endroit pour présenter un événement. Facile d’accès à partir de l’autoroute 15.,Merci de le commentaire!  Nous avons quasiment notre sortie d'autoroute  désormais avec la sortie St-Rémi.  Au plaisir de vous revoir!
133,Alain Marotte,5,2023-06-06,"Je suis allé voir un spectacle du groupe vocal NUANCE DE MONTRÉAL . Je suis en fauteuil roulant.  J'ai eu une personne dédiée toute la soirée pour aller à la salle toilettes,  ... le personnel a été d'une extrême gentillesse et de service.  Merci pour le dévouement du personnel du PARADOXE !",Merci infiniment de ce commentaires! Nous sommes ravi que vous ayez eu une expérience agréable.
134,Iann Saint-Denis,5,2023-03-08,"Église désacralisée devenue théâtre où le groupe paradoxe s'occupe de réinsertion sociale pour les jeunes avec une formation en arts de la scène. Les valeurs originelles de l'église refont surface dans une autre vocation... Magnifique endroit pour évènements en tous genres (hôte de l'émission Y'a du monde a Messe à Télé-Québec, entre autres).",Merci de le commentaire! Au plaisir de vous revoir :)
135,François Cominardi,5,2022-07-06,"Visité pour l'événement moto Roll the Bones. Très convivial avec la salle et la cour de côté où des activités peuvent être ajoutés. La salle dégage une atmosphère particulière avec l'ancien autel d'église et son fond particulier. Les vitraux tamisent la lumière. À découvrir, loin des salles aseptisées.",None
136,Pierre De Hamel,2,2023-06-06,C'est beau de l'extérieur mais je n'ai pas pu entrer car aucun accès pour poussette de bb.,"Quel dommage puisque c’est totalement faux.  Pourriez-vous nous dire si quelqu’un de notre équipe vous aurait dit des informations contradictoires? Il nous aurait été impossible de monter des motos dans la salle sans avoir des rampes d’accès et un monte-charge.  Il va de soit que vous avez été mal informé si on assume que vous avez posé la question à un membre de notre équipe.  Dommage que votre expérience ai été gâché car c’est aussi très beau a l’intérieur :)

Cela fait maintenant 2 semaines que nous espérons avoir une retour de votre part, nous sommes à votre écoute si vous désirez nous donner plus d'informations."
137,Steinbach Alain,5,2023-06-06,Un bel endroit c'est une ancienne église et c'est très vaste et aéré à l'intérieur !,Merci de le commentaire! Au plaisir de vous revoir!
