ID,Reviewer,Rating,Review Time,Review Content,Owner Response
87,Peter Ntoulis,5,2021-07-06,"Got my vaccine , very organized",None
88,Alessio Tammaro,3,2019-07-07,Great school! Love it! Adminstration eh...,None
89,Ilya Naduev,5,2017-07-07,"Great location, friendly environment, lots of fun memories!",None
90,Anonymous B.,4,2014-07-08,It's a good CEGEP. Lots of services and activities going on.,None
91,Dominic A,4,2016-07-07,"Nice buildings, clean. Historically rich environment.",None
92,Ridolphe Aristil,5,2022-07-06,Good school good sports complex,None
93,DG He,4,2022-09-09,Very good English cegep in Montreal,None
94,David James,1,2021-07-06,Was next door at the St. Laurent church working a funeral.,None
95,Thang Nguyen,4,2021-07-06,The campus is wide open and beautiful,None
96,Kerem Turk,4,2020-07-06,I don't recommand their English language course.,None
97,nancy jindal,5,2022-07-06,Wonderful experience being in the campus,None
98,ELDIE LAZO,5,2022-07-06,Nice games in the gym,None
99,Karen Gordon,5,2020-07-06,Great turf field for soccer.,None
100,Jigneshkumar Patel,5,2020-07-06,Best English cegep college in Saint Laurent,None
101,UdViiL udviil,2,2017-07-07,not enough memes rate peperroni out of 5,None
102,Sanchay Kumar,5,2021-07-06,Because My Mom Studys There,None
103,Viata în Canada,5,2022-11-08,Super!,None
104,Mireille Cossette,5,2016-07-07,Very warm loving cégep,None
105,Zenie Nicolas,3,2021-07-06,A good college in English,None
106,bolomi b,5,2022-07-06,very good college,None
107,Manix Mariano,5,2021-07-06,Lovely place to learn.,None
108,Satish Manchanda,4,2015-07-08,very good music department,None
109,Julie Z,5,2022-10-09,Hope I get in,None
110,Intelligent Duck,5,2017-07-07,It's the best for a student,None
111,Hub,5,2022-07-06,good school and staff,None
112,Laviatrice Api,5,2022-11-08,Excellent !,None
113,Richi Andino,3,2020-07-06,"Ok
3.0",None
114,Juan Felipe Montoya,5,2021-07-06,Parking lots available.,None
115,Marilyn Zaltzman,5,2021-07-06,"Vaccine shot
2nd",None
116,Dan-A,4,2022-07-06,Diversity,None
117,Majd Khaldi,5,2017-07-07,Went here from 2006-2008!,None
118,David Hinchliffe,5,2021-07-06,Fantastic post secondary school,None
119,Mimzy,1,2019-07-07,dont go to the n building,None
120,Ismail E,4,2022-07-06,Good to start.,None
121,Khan Waheedo,1,2015-07-08,i hate it dawson is better,None
122,No one No one,5,2014-07-08,The best,None
123,Sniper Haunt,5,2021-07-06,I scared for sanitary,None
124,Darron Seller-Peritz,4,2017-07-07,Nice school to study in.,None
125,Giuliano Aversano,4,2020-07-06,Biag goes there,None
126,Jess Guindon,4,2014-07-08,Need more pictures,None
127,Ultimate Food Reviews,5,2016-07-07,Awesome skool,None
128,Nicolas Marinilli,3,2016-07-07,Nice building,None
129,norek dikran,5,2019-07-07,Great,None
130,Tuan T,4,2017-07-07,Wonderful,None
131,Ashraf Ahmed (ashrxf),5,2014-07-08,Lovely,None
132,Razvan Cioban,5,2021-07-06,Cool place,None
133,Karanvir Bassi,5,2022-07-06,Nice School,None
134,SHETTRI TIKU,4,2018-07-07,Best  college,None
135,yohan morris,4,2014-07-08,Community,None
136,Nadim Badran,5,2016-07-07,the best in canada,None
137,Nikolaki T,4,2016-07-07,Never been,None
138,Tanveer Bajwa,5,2017-07-07,Great School,None
139,Alin Popian,4,2022-11-08,"Cargo concert in Montreal!!! Thank you for remembering us, it was an unforgettable evening! The acoustics of the hall were not up to the band, but we overcame this impediment helped by the explosion of energy, which Cargo does not lack in any concert. Thanks to them, we relived all the past pleasures, each piece helped us unzip pleasant memories... we hope you come back, if not several times a week as suggested, at least in 2-3 years.",None
140,Jean Audet,5,2021-07-06,"Excellent endroit pour recevoir les 2 doses de Vaccin contre la COVID-19.
Bien aménagé et services très professionnels.",None
141,Julie Plante,5,2022-07-06,Excellent Cégep!,None
142,D. Sauve,5,2021-07-06,Belle accueil pour le vaccin et professionnel de A a Z,None
143,Оksana Оk,5,2022-07-06,No review text provided.,None
144,Dalice Gelli,1,2021-07-06,C est très agreable a faire la marche,None
145,Remi Lafond,5,2021-07-06,Vaccin Pfizer pour se cite!,None
146,Steph602,4,2021-07-06,Le service est bien pour les étudiants,None
147,Rachelle Audet,5,2021-07-06,Très propre et très accueillant,None
148,Leonardo Rodriguez Saturno,5,2021-07-06,Daaaaaaaa babyyy,None
149,Y S,4,2019-07-07,Collège,None
150,lisa Mitchell-brown,5,2019-07-07,No review text provided.,None
151,Sa Nou,5,2019-07-07,No review text provided.,None
152,Konstantin Pachshenko,5,2021-07-06,No review text provided.,None
153,Jaspreet L,5,2018-07-07,No review text provided.,None
154,Bilal Ashraf,5,2021-07-06,No review text provided.,None
155,Ala Drine,4,2017-07-07,No review text provided.,None
156,Maddy J,4,2018-07-07,No review text provided.,None
157,Sara Nessim,4,2021-07-06,No review text provided.,None
158,Andrew Dandie,4,2018-07-07,No review text provided.,None
159,Daniel B,1,2017-07-07,No review text provided.,None
160,Khadi Sab,1,2018-07-07,No review text provided.,None
161,张皓嘉,5,2018-07-07,No review text provided.,None
162,Leo Gao (狮子Lion),5,2022-11-08,No review text provided.,None
163,S h u k l e L,4,2022-08-10,No review text provided.,None
164,Lema Alkujok,5,2019-07-07,No review text provided.,None
165,Maxime Slim,4,2021-07-06,No review text provided.,None
166,Simrat Kaur,5,2021-07-06,No review text provided.,None
167,Annie Dong,5,2019-07-07,No review text provided.,None
168,Y Maher,5,2013-07-08,No review text provided.,None
169,Patricia Jade Celestin,5,2015-07-08,No review text provided.,None
170,Francis van Oordt,5,2022-07-06,No review text provided.,None
171,Muskan Dua,5,2022-07-06,No review text provided.,None
172,elharis izzeldin,4,2022-07-06,No review text provided.,None
173,Yan-David Tina,5,2019-07-07,No review text provided.,None
174,Nikolaus Odermatt,5,2017-07-07,No review text provided.,None
175,BenDevil 1971,5,2018-07-07,No review text provided.,None
176,Dishant Patel,5,2021-07-06,No review text provided.,None
177,911,1,2018-07-07,No review text provided.,None
178,Michel Ayash,4,2018-07-07,No review text provided.,None
179,sina youssefi,5,2022-07-06,No review text provided.,None
180,Carl Comeau,5,2020-07-06,No review text provided.,None
181,Brandon D. Laxton,4,2018-07-07,No review text provided.,None
182,Zain Shaikh,5,2021-07-06,No review text provided.,None
183,Kizzy Lopez,4,2016-07-07,No review text provided.,None
184,STEVE ATAKY,5,2022-07-06,No review text provided.,None
185,Ray,5,2017-07-07,No review text provided.,None
186,Xavier Bolivar,1,2018-07-07,No review text provided.,None
187,Jamila Williams,2,2022-07-06,No review text provided.,None
188,Kevin Beauciquot-Lubin,5,2022-07-06,No review text provided.,None
189,Tibor Kormendi,5,2022-10-09,No review text provided.,None
190,A Adhikary,5,2018-07-07,No review text provided.,None
191,Benjamin Castelo Tercero A,5,2021-07-06,No review text provided.,None
192,Remi M,5,2021-07-06,No review text provided.,None
193,CoKo A,5,2018-07-07,No review text provided.,None
194,Queen Elsa,1,2021-07-06,No review text provided.,None
195,monica chen,2,2017-07-07,No review text provided.,None
196,Nelson Marciales,5,2022-10-09,No review text provided.,None
197,yu li,5,2023-04-07,No review text provided.,None
198,Georgi Tonchev,5,2022-10-09,No review text provided.,None
199,Louanne Peron,5,2022-07-06,No review text provided.,None
200,Ibtissam Djeddai,5,2021-07-06,No review text provided.,None
201,Bryan Colesse,5,2017-07-07,No review text provided.,None
202,Esraa Drbas,5,2019-07-07,No review text provided.,None
203,T M,5,2020-07-06,No review text provided.,None
204,Nicolas,5,2021-07-06,No review text provided.,None
205,Daniil Andreev,5,2019-07-07,No review text provided.,None
206,Arlene S.,5,2021-07-06,No review text provided.,None
207,Tristan Tremblay,5,2016-07-07,No review text provided.,None
208,Deepesh Tickoo,5,2022-07-06,No review text provided.,None
209,aziz,5,2022-10-09,No review text provided.,None
210,Ivan Nikiforov,5,2016-07-07,No review text provided.,None
211,javid hosseini,1,2020-07-06,No review text provided.,None
212,Fel ix,2,2018-07-07,No review text provided.,None
213,Roijan Caballero,4,2018-07-07,No review text provided.,None
214,M,4,2018-07-07,No review text provided.,None
215,Ramiro Giovany Triana Amado (Giovany Triana),5,2021-07-06,No review text provided.,None
216,Kemi Oshiro,5,2022-07-06,No review text provided.,None
217,Altagracia Rodríguez Altagracia Rodríguez,5,2021-07-06,No review text provided.,None
218,Simillion,5,2020-07-06,No review text provided.,None
219,Paul Cebuc,5,2018-07-07,No review text provided.,None
220,Habscollector13,4,2018-07-07,No review text provided.,None
221,Denis chmielewski,5,2021-07-06,No review text provided.,None
222,D N (paikwon),5,2018-07-07,No review text provided.,None
223,Georges Khairallah,5,2021-07-06,No review text provided.,None
224,Antonio Portaro,5,2022-07-06,No review text provided.,None
225,Riday Amr,5,2018-07-07,No review text provided.,None
226,Deborah Shewchuk,4,2018-07-07,No review text provided.,None
227,patricia st-pierre,5,2021-07-06,No review text provided.,None
228,claude fournel,5,2020-07-06,No review text provided.,None
229,Jean-Michel Bou-Rjeily,5,2022-07-06,No review text provided.,None
230,Luis Vargas,4,2021-07-06,No review text provided.,None
231,Trangiang Pham,5,2021-07-06,No review text provided.,None
232,Jonathan Mercure (Joe),5,2021-07-06,No review text provided.,None
